anio,estacion,periodo_analisis,categoria,comunidad,porcentaje_promedio,porcentaje_min,porcentaje_max,dias_muestreados
2025,Autumn,Anochecer Crítico,Insecto,12 DE abril,10.44,6.33,14.0,3
2025,Autumn,Anochecer Crítico,Insecto,PAUJIL,31.63,17.5,45.0,7
2025,Autumn,Anochecer Crítico,Insecto,SAN LUCAS,21.61,7.59,44.17,6
2025,Autumn,Anochecer Crítico,Insecto,VARILLAL,12.8,8.83,20.19,7
2025,Autumn,Anochecer Crítico,Mamífero,12 DE abril,0.17,0.17,0.17,1
2025,Autumn,Anochecer Crítico,Mamífero,VARILLAL,0.75,0.67,0.83,2
2025,Autumn,Anochecer Crítico,Ruido ambiental,12 DE abril,91.39,80.5,100.0,6
2025,Autumn,Anochecer Crítico,Ruido ambiental,PAUJIL,56.93,38.89,68.89,7
2025,Autumn,Anochecer Crítico,Ruido ambiental,SAN LUCAS,65.44,46.25,78.48,6
2025,Autumn,Anochecer Crítico,Ruido ambiental,VARILLAL,58.47,52.22,63.17,7
2025,Winter,Amanecer Crítico,Antropogénico,QUISTOCOCHA,3.46,0.4,10.28,5
2025,Winter,Amanecer Crítico,Ave,QUISTOCOCHA,2.58,0.41,6.11,3
2025,Winter,Amanecer Crítico,Insecto,QUISTOCOCHA,3.1,0.41,12.22,5
2025,Winter,Amanecer Crítico,Ruido ambiental,QUISTOCOCHA,94.21,71.39,100.0,7
2025,Winter,Anochecer Crítico,Anfibio,QUISTOCOCHA,1.38,0.41,3.33,3
2025,Winter,Anochecer Crítico,Antropogénico,QUISTOCOCHA,2.35,0.41,8.61,5
2025,Winter,Anochecer Crítico,Ave,QUISTOCOCHA,0.4,0.37,0.41,3
2025,Winter,Anochecer Crítico,Insecto,QUISTOCOCHA,1.88,0.82,3.33,3
2025,Winter,Anochecer Crítico,Ruido ambiental,QUISTOCOCHA,96.76,88.06,100.0,7
