periodo_analisis,categoria,comunidad,porcentaje_promedio,porcentaje_min,porcentaje_max,dias_muestreados
Anochecer Crítico,Antropogénico,23 DE febrero,7.2,0.28,13.69,30
Anochecer Crítico,Antropogénico,LLANCHAMA,16.96,10.94,24.57,6
Anochecer Crítico,Antropogénico,PAUJIL,9.97,0.08,43.17,44
Anochecer Crítico,Antropogénico,QUISTOCOCHA,18.14,0.36,59.58,42
Anochecer Crítico,Antropogénico,SAN CARLOS,27.06,18.07,37.4,6
Anochecer Crítico,Antropogénico,SAN LUCAS,13.08,0.28,35.71,40
Anochecer Crítico,Antropogénico,VARILLAL,14.37,0.26,44.17,46
Anochecer Crítico,Antropogénico,ZUNGAROCOCHA,29.98,18.33,45.28,6
Anochecer Crítico,Antropogénico,cahuide,14.95,10.05,24.6,6
Anochecer Crítico,Ave,12 DE abril,4.62,0.21,15.0,35
Anochecer Crítico,Ave,23 DE febrero,7.12,0.48,23.06,30
Anochecer Crítico,Ave,LLANCHAMA,01.07,0.35,1.82,6
Anochecer Crítico,Ave,PAUJIL,5.27,0.08,20.94,43
Anochecer Crítico,Ave,QUISTOCOCHA,7.23,0.21,25.12,34
Anochecer Crítico,Ave,SAN CARLOS,4.79,2.95,6.85,6
Anochecer Crítico,Ave,SAN LUCAS,5.18,0.02,16.43,37
Anochecer Crítico,Ave,VARILLAL,11.44,0.04,71.67,43
Anochecer Crítico,Ave,ZUNGAROCOCHA,4.65,1.67,7.78,6
Anochecer Crítico,Ave,cahuide,2.42,0.34,4.96,6
Anochecer Crítico,Insecto,12 DE abril,32.64,1.14,77.5,39
Anochecer Crítico,Insecto,23 DE febrero,53.16,32.26,79.17,29
Anochecer Crítico,Insecto,LLANCHAMA,41.22,20.49,54.51,6
Anochecer Crítico,Insecto,PAUJIL,29.42,2.81,53.72,43
Anochecer Crítico,Insecto,QUISTOCOCHA,18.73,0.82,53.4,33
Anochecer Crítico,Insecto,SAN CARLOS,36.37,33.25,40.35,6
Anochecer Crítico,Insecto,SAN LUCAS,32.64,5.22,100.0,40
Anochecer Crítico,Insecto,VARILLAL,24.9,0.69,63.64,43
Anochecer Crítico,Insecto,ZUNGAROCOCHA,22.18,08.06,35.56,6
Anochecer Crítico,Insecto,cahuide,19.99,11.34,32.94,6
Anochecer Crítico,Mamífero,12 DE abril,0.39,0.1,1.0,6
Anochecer Crítico,Mamífero,23 DE febrero,0.23,0.12,0.48,5
Anochecer Crítico,Mamífero,PAUJIL,0.52,0.1,1.36,9
Anochecer Crítico,Mamífero,QUISTOCOCHA,0.43,0.03,1.46,12
Anochecer Crítico,Mamífero,SAN LUCAS,0.64,0.09,2.26,8
Anochecer Crítico,Mamífero,VARILLAL,0.91,0.05,4.17,16
Anochecer Crítico,Mamífero,ZUNGAROCOCHA,0.31,0.14,0.56,4
Anochecer Crítico,Mamífero,cahuide,0.36,0.04,0.95,3
Anochecer Crítico,Ruido ambiental,12 DE abril,57.49,15.83,100.0,44
Anochecer Crítico,Ruido ambiental,23 DE febrero,31.24,11.07,85.24,30
Anochecer Crítico,Ruido ambiental,LLANCHAMA,39.95,28.21,67.45,6
Anochecer Crítico,Ruido ambiental,PAUJIL,60.1,10.74,100.0,52
Anochecer Crítico,Ruido ambiental,QUISTOCOCHA,60.3,10.83,100.0,46
Anochecer Crítico,Ruido ambiental,SAN CARLOS,30.48,20.14,37.63,6
Anochecer Crítico,Ruido ambiental,SAN LUCAS,53.76,1.96,100.0,43
Anochecer Crítico,Ruido ambiental,VARILLAL,55.28,0.83,100.0,53
Anochecer Crítico,Ruido ambiental,ZUNGAROCOCHA,42.11,35.83,44.58,6
Anochecer Crítico,Ruido ambiental,cahuide,61.57,36.51,74.01,6
Anochecer Crítico,Silencio,QUISTOCOCHA,7.14,7.14,7.14,1
