localidad,ciclo_hidrologico,hora_dia,primary_category,promedio_clips_hora
12 DE ABRIL,Creciente,21,Anthropogenic,37.6
12 DE ABRIL,Creciente,21,Bird,0.66
12 DE ABRIL,Creciente,21,Insect,53.2
12 DE ABRIL,Creciente,21,Mammal,0.09
12 DE ABRIL,Creciente,22,Amphibian,15.6
12 DE ABRIL,Creciente,22,Anthropogenic,36.11
12 DE ABRIL,Creciente,22,Bird,1.31
12 DE ABRIL,Creciente,22,Insect,42.69
12 DE ABRIL,Creciente,23,Amphibian,10.14
12 DE ABRIL,Creciente,23,Anthropogenic,30.2
12 DE ABRIL,Creciente,23,Bird,0.97
12 DE ABRIL,Creciente,23,Insect,43.29
12 DE ABRIL,Creciente,23,Mammal,0.03
12 DE ABRIL,Vaciante,0,Amphibian,17.52
12 DE ABRIL,Vaciante,0,Anthropogenic,49.96
12 DE ABRIL,Vaciante,0,Bird,2.43
12 DE ABRIL,Vaciante,0,Insect,162.13
12 DE ABRIL,Vaciante,0,Mammal,0.78
12 DE ABRIL,Vaciante,1,Amphibian,13.04
12 DE ABRIL,Vaciante,1,Anthropogenic,51.22
12 DE ABRIL,Vaciante,1,Bird,3.61
12 DE ABRIL,Vaciante,1,Insect,152.17
12 DE ABRIL,Vaciante,1,Mammal,2.09
12 DE ABRIL,Vaciante,2,Amphibian,13.43
12 DE ABRIL,Vaciante,2,Anthropogenic,39.26
12 DE ABRIL,Vaciante,2,Bird,10.35
12 DE ABRIL,Vaciante,2,Insect,146.96
12 DE ABRIL,Vaciante,2,Mammal,0.74
12 DE ABRIL,Vaciante,3,Amphibian,15.65
12 DE ABRIL,Vaciante,3,Anthropogenic,47.04
12 DE ABRIL,Vaciante,3,Bird,3.43
12 DE ABRIL,Vaciante,3,Insect,148.96
12 DE ABRIL,Vaciante,3,Mammal,0.26
12 DE ABRIL,Vaciante,4,Amphibian,9.39
12 DE ABRIL,Vaciante,4,Anthropogenic,56.09
12 DE ABRIL,Vaciante,4,Bird,6.52
12 DE ABRIL,Vaciante,4,Insect,152.13
12 DE ABRIL,Vaciante,4,Mammal,1.87
12 DE ABRIL,Vaciante,5,Amphibian,8.35
12 DE ABRIL,Vaciante,5,Anthropogenic,33.39
12 DE ABRIL,Vaciante,5,Bird,29.48
12 DE ABRIL,Vaciante,5,Insect,179.48
12 DE ABRIL,Vaciante,5,Mammal,2.17
12 DE ABRIL,Vaciante,6,Amphibian,2.35
12 DE ABRIL,Vaciante,6,Anthropogenic,13.78
12 DE ABRIL,Vaciante,6,Bird,92.7
12 DE ABRIL,Vaciante,6,Insect,148.26
12 DE ABRIL,Vaciante,6,Mammal,2.22
12 DE ABRIL,Vaciante,7,Amphibian,1.7
12 DE ABRIL,Vaciante,7,Anthropogenic,30.26
12 DE ABRIL,Vaciante,7,Bird,63.35
12 DE ABRIL,Vaciante,7,Insect,149.78
12 DE ABRIL,Vaciante,7,Mammal,1.52
12 DE ABRIL,Vaciante,8,Amphibian,0.43
12 DE ABRIL,Vaciante,8,Anthropogenic,44.83
12 DE ABRIL,Vaciante,8,Bird,71.35
12 DE ABRIL,Vaciante,8,Insect,115.61
12 DE ABRIL,Vaciante,8,Mammal,2.96
12 DE ABRIL,Vaciante,9,Amphibian,0.3
12 DE ABRIL,Vaciante,9,Anthropogenic,56.17
12 DE ABRIL,Vaciante,9,Bird,63.39
12 DE ABRIL,Vaciante,9,Insect,84.78
12 DE ABRIL,Vaciante,9,Mammal,1.78
12 DE ABRIL,Vaciante,10,Amphibian,0.39
12 DE ABRIL,Vaciante,10,Anthropogenic,47.52
12 DE ABRIL,Vaciante,10,Bird,64.17
12 DE ABRIL,Vaciante,10,Insect,83.26
12 DE ABRIL,Vaciante,10,Mammal,2.13
12 DE ABRIL,Vaciante,11,Amphibian,0.04
12 DE ABRIL,Vaciante,11,Anthropogenic,36.87
12 DE ABRIL,Vaciante,11,Bird,42.39
12 DE ABRIL,Vaciante,11,Insect,67.65
12 DE ABRIL,Vaciante,11,Mammal,1.35
12 DE ABRIL,Vaciante,12,Amphibian,0.22
12 DE ABRIL,Vaciante,12,Anthropogenic,47.57
12 DE ABRIL,Vaciante,12,Bird,37.83
12 DE ABRIL,Vaciante,12,Insect,63.13
12 DE ABRIL,Vaciante,12,Mammal,3.96
12 DE ABRIL,Vaciante,13,Amphibian,0.43
12 DE ABRIL,Vaciante,13,Anthropogenic,36.3
12 DE ABRIL,Vaciante,13,Bird,23.13
12 DE ABRIL,Vaciante,13,Insect,57.7
12 DE ABRIL,Vaciante,13,Mammal,1.43
12 DE ABRIL,Vaciante,14,Amphibian,1.0
12 DE ABRIL,Vaciante,14,Anthropogenic,44.39
12 DE ABRIL,Vaciante,14,Bird,24.96
12 DE ABRIL,Vaciante,14,Insect,97.96
12 DE ABRIL,Vaciante,14,Mammal,2.87
12 DE ABRIL,Vaciante,15,Amphibian,1.09
12 DE ABRIL,Vaciante,15,Anthropogenic,42.52
12 DE ABRIL,Vaciante,15,Bird,29.43
12 DE ABRIL,Vaciante,15,Insect,116.43
12 DE ABRIL,Vaciante,15,Mammal,2.52
12 DE ABRIL,Vaciante,16,Amphibian,7.0
12 DE ABRIL,Vaciante,16,Anthropogenic,44.39
12 DE ABRIL,Vaciante,16,Bird,38.87
12 DE ABRIL,Vaciante,16,Insect,148.39
12 DE ABRIL,Vaciante,16,Mammal,0.26
12 DE ABRIL,Vaciante,17,Amphibian,7.3
