localidad,ciclo_hidrologico,temporada_base,hora_dia,primary_category,promedio_clips_hora
12 DE ABRIL,Creciente,2023,20,Anthropogenic,13.9
12 DE ABRIL,Creciente,2023,20,Bird,0.45
12 DE ABRIL,Creciente,2023,20,Insect,96.45
12 DE ABRIL,Creciente,2023,21,Amphibian,16.85
12 DE ABRIL,Creciente,2023,21,Anthropogenic,15.85
12 DE ABRIL,Creciente,2023,21,Bird,1.05
12 DE ABRIL,Creciente,2023,21,Insect,84.05
12 DE ABRIL,Creciente,2023,22,Amphibian,24.9
12 DE ABRIL,Creciente,2023,22,Anthropogenic,16.7
12 DE ABRIL,Creciente,2023,22,Bird,2.25
12 DE ABRIL,Creciente,2023,22,Insect,68.0
12 DE ABRIL,Creciente,2023,23,Amphibian,15.8
12 DE ABRIL,Creciente,2023,23,Anthropogenic,14.35
12 DE ABRIL,Creciente,2023,23,Bird,1.55
12 DE ABRIL,Creciente,2023,23,Insect,69.85
12 DE ABRIL,Creciente,2024,0,Amphibian,2.0
12 DE ABRIL,Creciente,2024,0,Anthropogenic,44.07
12 DE ABRIL,Creciente,2024,0,Bird,0.8
12 DE ABRIL,Creciente,2024,0,Insect,13.2
12 DE ABRIL,Creciente,2024,0,Mammal,0.2
12 DE ABRIL,Creciente,2024,1,Amphibian,0.13
12 DE ABRIL,Creciente,2024,1,Anthropogenic,30.6
12 DE ABRIL,Creciente,2024,1,Bird,0.67
12 DE ABRIL,Creciente,2024,1,Insect,7.33
12 DE ABRIL,Creciente,2024,1,Mammal,0.27
12 DE ABRIL,Creciente,2024,2,Amphibian,0.27
12 DE ABRIL,Creciente,2024,2,Anthropogenic,27.67
12 DE ABRIL,Creciente,2024,2,Bird,0.27
12 DE ABRIL,Creciente,2024,2,Insect,12.53
12 DE ABRIL,Creciente,2024,2,Mammal,0.27
12 DE ABRIL,Creciente,2024,3,Amphibian,2.87
12 DE ABRIL,Creciente,2024,3,Anthropogenic,3.53
12 DE ABRIL,Creciente,2024,3,Bird,0.27
12 DE ABRIL,Creciente,2024,3,Insect,2.87
12 DE ABRIL,Creciente,2024,4,Amphibian,1.47
12 DE ABRIL,Creciente,2024,4,Anthropogenic,0.87
12 DE ABRIL,Creciente,2024,4,Bird,2.8
12 DE ABRIL,Creciente,2024,4,Insect,4.53
12 DE ABRIL,Creciente,2024,4,Mammal,0.07
12 DE ABRIL,Creciente,2024,5,Amphibian,0.27
12 DE ABRIL,Creciente,2024,5,Anthropogenic,1.47
12 DE ABRIL,Creciente,2024,5,Bird,0.67
12 DE ABRIL,Creciente,2024,5,Insect,8.47
12 DE ABRIL,Creciente,2024,6,Amphibian,0.07
12 DE ABRIL,Creciente,2024,6,Anthropogenic,1.2
12 DE ABRIL,Creciente,2024,6,Bird,7.07
12 DE ABRIL,Creciente,2024,6,Insect,4.47
12 DE ABRIL,Creciente,2024,6,Mammal,0.07
12 DE ABRIL,Creciente,2024,7,Amphibian,0.07
12 DE ABRIL,Creciente,2024,7,Anthropogenic,6.47
12 DE ABRIL,Creciente,2024,7,Bird,7.2
12 DE ABRIL,Creciente,2024,7,Insect,4.53
12 DE ABRIL,Creciente,2024,7,Mammal,0.13
12 DE ABRIL,Creciente,2024,8,Amphibian,0.53
12 DE ABRIL,Creciente,2024,8,Anthropogenic,0.33
12 DE ABRIL,Creciente,2024,8,Bird,8.47
12 DE ABRIL,Creciente,2024,8,Insect,13.6
12 DE ABRIL,Creciente,2024,9,Amphibian,0.33
12 DE ABRIL,Creciente,2024,9,Anthropogenic,3.93
12 DE ABRIL,Creciente,2024,9,Bird,4.73
12 DE ABRIL,Creciente,2024,9,Insect,4.87
12 DE ABRIL,Creciente,2024,9,Mammal,0.07
12 DE ABRIL,Creciente,2024,10,Amphibian,0.73
12 DE ABRIL,Creciente,2024,10,Anthropogenic,8.8
12 DE ABRIL,Creciente,2024,10,Bird,32.47
12 DE ABRIL,Creciente,2024,10,Insect,43.13
12 DE ABRIL,Creciente,2024,10,Mammal,0.47
12 DE ABRIL,Creciente,2024,11,Amphibian,0.73
12 DE ABRIL,Creciente,2024,11,Anthropogenic,14.53
12 DE ABRIL,Creciente,2024,11,Bird,20.47
12 DE ABRIL,Creciente,2024,11,Insect,63.53
12 DE ABRIL,Creciente,2024,11,Mammal,0.33
12 DE ABRIL,Creciente,2024,12,Amphibian,0.53
12 DE ABRIL,Creciente,2024,12,Anthropogenic,17.07
12 DE ABRIL,Creciente,2024,12,Bird,10.73
12 DE ABRIL,Creciente,2024,12,Insect,28.73
12 DE ABRIL,Creciente,2024,12,Mammal,0.13
12 DE ABRIL,Creciente,2024,13,Amphibian,0.8
12 DE ABRIL,Creciente,2024,13,Anthropogenic,6.2
12 DE ABRIL,Creciente,2024,13,Bird,7.07
12 DE ABRIL,Creciente,2024,13,Insect,66.2
12 DE ABRIL,Creciente,2024,14,Amphibian,0.87
12 DE ABRIL,Creciente,2024,14,Anthropogenic,18.73
12 DE ABRIL,Creciente,2024,14,Bird,13.2
12 DE ABRIL,Creciente,2024,14,Insect,46.8
12 DE ABRIL,Creciente,2024,14,Mammal,0.33
12 DE ABRIL,Creciente,2024,15,Amphibian,1.4
12 DE ABRIL,Creciente,2024,15,Anthropogenic,3.47
12 DE ABRIL,Creciente,2024,15,Bird,7.4
12 DE ABRIL,Creciente,2024,15,Insect,64.87
12 DE ABRIL,Creciente,2024,16,Amphibian,0.93
12 DE ABRIL,Creciente,2024,16,Anthropogenic,8.4
12 DE ABRIL,Creciente,2024,16,Bird,2.27
12 DE ABRIL,Creciente,2024,16,Insect,41.67
12 DE ABRIL,Creciente,2024,16,Mammal,0.07
12 DE ABRIL,Creciente,2024,17,Amphibian,0.67
12 DE ABRIL,Creciente,2024,17,Anthropogenic,36.33
12 DE ABRIL,Creciente,2024,17,Bird,5.07
12 DE ABRIL,Creciente,2024,17,Insect,32.67
12 DE ABRIL,Creciente,2024,17,Mammal,0.07
12 DE ABRIL,Creciente,2024,18,Amphibian,0.2
12 DE ABRIL,Creciente,2024,18,Anthropogenic,43.53
12 DE ABRIL,Creciente,2024,18,Bird,1.67
12 DE ABRIL,Creciente,2024,18,Insect,46.2
12 DE ABRIL,Creciente,2024,19,Amphibian,0.47
12 DE ABRIL,Creciente,2024,19,Anthropogenic,67.87
12 DE ABRIL,Creciente,2024,19,Bird,0.2
12 DE ABRIL,Creciente,2024,19,Insect,15.53
12 DE ABRIL,Creciente,2024,19,Mammal,0.07
12 DE ABRIL,Creciente,2024,20,Amphibian,2.13
12 DE ABRIL,Creciente,2024,20,Anthropogenic,66.6
12 DE ABRIL,Creciente,2024,20,Bird,0.27
12 DE ABRIL,Creciente,2024,20,Insect,13.6
12 DE ABRIL,Creciente,2024,21,Amphibian,2.4
12 DE ABRIL,Creciente,2024,21,Anthropogenic,66.6
12 DE ABRIL,Creciente,2024,21,Bird,0.13
12 DE ABRIL,Creciente,2024,21,Insect,12.07
12 DE ABRIL,Creciente,2024,21,Mammal,0.2
12 DE ABRIL,Creciente,2024,22,Amphibian,3.2
12 DE ABRIL,Creciente,2024,22,Anthropogenic,62.0
12 DE ABRIL,Creciente,2024,22,Bird,0.07
12 DE ABRIL,Creciente,2024,22,Insect,8.93
12 DE ABRIL,Creciente,2024,23,Amphibian,2.6
12 DE ABRIL,Creciente,2024,23,Anthropogenic,51.33
12 DE ABRIL,Creciente,2024,23,Bird,0.2
